county	gender	political leaning	race/ethnicity	age	political perspective (as answered)	gender (as answered)
Salt Lake County	male	Rep/lean Rep	White	18-29	Unaffiliated, Lean Right	male
Cache County	male	Rep/lean Rep	White	18-29	Republican	male
Utah County	male	Rep/lean Rep	Hispanic/Latino	18-29	Republican	male
Utah County	female	Dem/lean Dem	White	55-70	Unaffiliated, Lean Left	female
Salt Lake County	female	Rep/lean Rep	White	71-84+	Republican	female
Salt Lake County	female	Rep/lean Rep	White	30-44	Republican	female
Salt Lake County	male	Rep/lean Rep	Hispanic/Latino	30-44	Unaffiliated, Lean Right	male
Salt Lake County	male	Rep/lean Rep	White	18-29	Republican	male
Salt Lake County	female	Rep/lean Rep	White	30-44	Unaffiliated, Lean Right	female
Utah County	female	Dem/lean Dem	White	45-54	Unaffiliated, Lean Left	female
Utah County	female	Dem/lean Dem	White	55-70	Unaffiliated, Lean Left	female
Salt Lake County	male	No lean	Declined to state	55-70	Other	male
Salt Lake County	female	Rep/lean Rep	White	71-84+	Republican	female
Salt Lake County	male	Rep/lean Rep	White	18-29	Unaffiliated, Lean Right	male
Cache County	female	Rep/lean Rep	White	45-54	Republican	female
Salt Lake County	male	Rep/lean Rep	Hispanic/Latino	45-54	Unaffiliated, Lean Right	male
Salt Lake County	male	Rep/lean Rep	White	30-44	Republican	male
Utah County	female	Rep/lean Rep	Hispanic/Latino	45-54	Unaffiliated, Lean Right	female
Salt Lake County	male	Rep/lean Rep	White	30-44	Republican	male
Cache County	female	Dem/lean Dem	Hispanic/Latino	18-29	Unaffiliated, Lean Left	female
Salt Lake County	male	Rep/lean Rep	Hispanic/Latino	55-70	Republican	male
Salt Lake County	male	Rep/lean Rep	Asian	18-29	Unaffiliated, Lean Right	male
Salt Lake County	male	No lean	Asian	45-54	Other	male
Utah County	female	Dem/lean Dem	White	45-54	Unaffiliated, Lean Left	female
Utah County	other	Dem/lean Dem	White	18-29	Unaffiliated, Lean Left	other
Utah County	declined to state	Dem/lean Dem	White	18-29	Unaffiliated, Lean Left	Prefer not to answer
Salt Lake County	male	Rep/lean Rep	White	18-29	Unaffiliated, Lean Right	male
Salt Lake County	male	Rep/lean Rep	Other	55-70	Unaffiliated, Lean Right	male
Salt Lake County	male	Dem/lean Dem	White	71-84+	Unaffiliated, Lean Left	male
Utah County	female	Dem/lean Dem	White	45-54	Democrat	female
Salt Lake County	male	Rep/lean Rep	White	30-44	Republican	male
Utah County	female	Rep/lean Rep	White	30-44	Republican	female
Salt Lake County	female	Dem/lean Dem	White	30-44	Democrat	female
Cache County	male	Dem/lean Dem	White	18-29	Unaffiliated, Lean Left	male
Salt Lake County	female	Dem/lean Dem	White	55-70	Unaffiliated, Lean Left	female
Cache County	male	Dem/lean Dem	White	18-29	Unaffiliated, Lean Left	male
Utah County	female	Rep/lean Rep	White	30-44	Republican	female
Utah County	female	Rep/lean Rep	Asian	55-70	Republican	female
Utah County	female	Dem/lean Dem	Hispanic/Latino	30-44	Unaffiliated, Lean Left	female
Cache County	male	Dem/lean Dem	White	18-29	Unaffiliated, Lean Left	male
